0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:34 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:51:41 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:52:29 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [24/Feb/2018:04:53:11 -0300] "POST /PCRS/apps/bdl/pago.html HTTP/1.1" 200 1526
127.0.0.1 - - [24/Feb/2018:04:58:04 -0300] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [24/Feb/2018:04:59:39 -0300] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [24/Feb/2018:05:02:18 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:33 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:33 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:33 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:33 -0300] "GET /PCRS/static/crs/images/SUP.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:33 -0300] "GET /PCRS/static/crs/images/HR.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:34 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:34 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:34 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:34 -0300] "GET /PCRS/static/crs/images/SUP.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:34 -0300] "GET /PCRS/static/crs/images/HR.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:34 -0300] "GET /PCRS/static/crs/images/joomla/bottomAjustaReserva.JPG HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:49 -0300] "POST /PCRS/apps/bdl/datosPasajeros.html HTTP/1.1" 200 188944
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:49 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:49 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:50 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:50 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:02:54 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:01 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:01 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:01 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:01 -0300] "GET /PCRS/static/crs/images/SUP.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:01 -0300] "GET /PCRS/static/crs/images/HR.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:02 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:02 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:02 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:02 -0300] "GET /PCRS/static/crs/images/SUP.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:02 -0300] "GET /PCRS/static/crs/images/HR.png HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:02 -0300] "GET /PCRS/static/crs/images/joomla/bottomAjustaReserva.JPG HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:44 -0300] "POST /PCRS/apps/bdl/datosPasajeros.html HTTP/1.1" 200 146710
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:44 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:44 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:45 -0300] "GET /images/banners/balearia.png HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:45 -0300] "GET /images/banners/alquilerdecoches.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:03:49 -0300] "POST /PCRS/apps/bdl/preReserva.html HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:26 -0300] "GET /PCRS/static/crs/images/ALBER.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:26 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:26 -0300] "GET /PCRS/static/crs/images/joomla/bottomAjustaReserva.JPG HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:26 -0300] "GET /PCRS/static/crs/images/AT1.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:27 -0300] "GET /PCRS/static/crs/images/SUP.png HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [24/Feb/2018:05:07:27 -0300] "GET /PCRS/apps/bdl/img/espera.gif HTTP/1.1" 404 1007
